Frequency 1,Amplitude 1,Frequency 2,Amplitude 2,Frequency 3,Amplitude 3,Frequency 4,Amplitude 4,Frequency 5,Amplitude 5,Frequency 6,Amplitude 6,Frequency 7,Amplitude 7,Frequency 8,Amplitude 8
200.0,1.1836672843198934,210.0,1.2660736163755917,340.0,1.637158731490876,490.0,1.669327872838298,670.0,37.52797642720898,660.0,50.384989839240596,1320.0,10.398283929789708,1330.0,19.706418424844315
230.0,0.6672489000135676,210.0,0.7211774573057331,430.0,0.9421410961199985,470.0,0.9676980463216436,670.0,29.438745333237776,660.0,58.82290337475143,1320.0,7.254340694736221,1330.0,13.969885913385758
210.0,1.1680569983610656,220.0,1.3977930582927063,470.0,2.7780753607686433,460.0,2.878162285169256,630.0,36.632959717965896,660.0,37.99693698656891,1260.0,12.882525426292696,1250.0,13.50940561710044
180.0,1.109467191081251,190.0,1.2504133828090944,390.0,1.4838679567084385,450.0,1.49467441780932,620.0,32.25896357092618,630.0,58.484192639991385,1890.0,5.964852002576713,1250.0,18.1103733625929
70.0,1.1881328887190905,190.0,1.2696238637422967,480.0,2.489555849098647,490.0,2.8177629965900595,630.0,35.02606303982534,620.0,39.3953071498635,1320.0,5.637932595615786,1250.0,10.457020324124567
200.0,2.0292208464755,240.0,2.3865079939802,290.0,2.2964923636971295,350.0,2.546694653592153,670.0,33.3196490175861,660.0,56.701976195335426,1320.0,6.947711549659646,1330.0,20.327372854952902
240.0,0.2168253223006756,210.0,0.3343374452822098,450.0,0.5997705501370072,490.0,0.9613957208347688,670.0,16.804007934712303,660.0,57.16850183482339,1320.0,6.344304297586634,1330.0,10.962283767226136
200.0,1.362270511404835,230.0,1.5495316228350207,320.0,1.6462122615135426,470.0,3.1666685902214766,620.0,31.022846667303714,630.0,61.64082043917618,1260.0,13.76534192467286,1250.0,20.077986612095533
230.0,0.8450475028888657,200.0,0.904324847744252,460.0,1.6158139052809397,470.0,1.7988050170622092,620.0,38.40480386932148,630.0,50.36144700674877,1260.0,4.257389577709152,1250.0,14.96674332834864
200.0,1.3960623975504538,240.0,1.4276039722724583,360.0,1.6933002067918685,490.0,2.616901945003565,670.0,35.873292053573465,660.0,50.71912487271788,1320.0,11.255770881064642,1330.0,17.692961682749132
210.0,0.7830117803156652,230.0,0.8068893573508603,480.0,0.9171430144543762,490.0,0.9426534118759188,670.0,31.036577484673334,660.0,60.28206836761943,1320.0,7.6822002508068215,1330.0,14.715750654234444
120.0,1.1677560668299156,240.0,2.0765586034833836,480.0,30.374775883107166,490.0,58.98644956794382,660.0,45.93764832993622,500.0,60.33446812717099,1000.0,7.784307687987986,1330.0,7.8618123206899275
190.0,1.4324012891027316,120.0,1.6480451176748603,480.0,24.87076490956718,490.0,66.59327284866575,510.0,29.257010380819285,500.0,101.67370705852457,1000.0,8.159918366767593,1490.0,9.592217097635494
230.0,1.351227852742157,240.0,1.677594572976595,480.0,17.526747481250318,490.0,51.21245474770824,600.0,15.985724386358978,500.0,65.93415177463017,1760.0,2.9685166762105197,1490.0,4.709331222182638
240.0,1.863025041911227,210.0,2.191988011342774,470.0,5.76022126605269,490.0,17.966846101711017,500.0,23.10759767888913,590.0,69.00224459175251,1780.0,11.757637585682701,1180.0,22.014441962672436
240.0,0.2386282179395657,180.0,0.45564761396347403,480.0,2.8399524399787417,490.0,7.228235228279855,500.0,10.442247153407898,590.0,66.98330690978425,1780.0,4.028101375313972,1180.0,14.104750711001198
210.0,1.4153186460399791,230.0,1.4950131979936103,490.0,6.21636283104946,480.0,6.614044579539274,520.0,89.23884445755459,530.0,93.3708939127385,1580.0,10.619453729679458,1050.0,19.511493456431175
190.0,1.6581948072174095,180.0,1.6724146833406195,480.0,7.683080989639083,490.0,10.175918208233757,520.0,72.98901543128771,530.0,79.7903097284744,1580.0,6.437538071749463,1050.0,14.260413064121781
220.0,15.657523399758142,110.0,25.32418403705827,450.0,45.16420377082438,440.0,63.223684530079886,530.0,40.275346394295276,520.0,41.04272254136581,1670.0,16.698416443569737,1330.0,16.70908533860807
220.0,10.375130729176421,110.0,33.15004190178951,330.0,42.008887044014784,440.0,82.24151306632785,660.0,18.82486368465156,880.0,21.83781801772006,1330.0,21.10336877700103,1670.0,21.745309223296232
170.0,13.99276070764233,110.0,24.917737956922117,330.0,40.09600133417388,440.0,42.18071590453863,660.0,16.553535503669437,880.0,21.15160447396397,1770.0,14.367448811589364,1670.0,15.244572423143607
160.0,22.877297184314948,170.0,27.22052729485579,440.0,25.87995700668782,330.0,73.36062295230323,500.0,12.196794632096838,660.0,17.593246117224812,1670.0,14.385475316115977,1160.0,18.155406635377226
160.0,19.76254907030623,170.0,25.266116930833547,440.0,33.430124272916345,330.0,51.0668714111707,500.0,12.364918810147802,660.0,21.375511184349747,1330.0,5.975328895593579,1160.0,14.06257546527268
170.0,20.19063119511602,220.0,71.5919626430758,330.0,33.90861638459983,440.0,77.85046402964745,670.0,13.775779873102,660.0,36.04633127669634,1110.0,11.845260812774388,1160.0,11.962327449468326
170.0,17.38236904248714,220.0,48.21162631381986,330.0,24.614982727196054,440.0,64.75838897212896,670.0,12.341010954840112,660.0,33.09595974927167,1330.0,7.978088416457896,1110.0,15.830564082615785
170.0,14.946188105118205,220.0,29.75448828361233,440.0,54.696324917128464,260.0,55.03658176222298,520.0,22.361854858271293,660.0,25.279851157352613,1050.0,7.540530182057314,1110.0,11.529390018483738
170.0,15.338095369065751,220.0,28.40303644113134,440.0,50.251803192882626,260.0,60.425791578622245,530.0,18.003004999710278,520.0,22.574248672947544,1320.0,7.211464632705636,1110.0,7.2759975063880376
170.0,12.274309498940733,220.0,22.055751270169644,440.0,43.86902142909721,260.0,50.798907434060105,520.0,20.28752120262894,660.0,20.564949031327377,1330.0,5.928589746442679,1320.0,6.991399875884133
170.0,11.23120492508535,220.0,16.666477330742744,260.0,47.46995875501955,330.0,62.53027869118251,520.0,16.092746064319734,660.0,31.182704231281896,1110.0,5.164318633751246,1320.0,7.104104686300243
170.0,11.353789031347848,220.0,14.010603970998694,440.0,45.791913180907684,330.0,52.15975077296307,520.0,14.497407731875018,660.0,35.57561120414634,1330.0,6.463426204566831,1320.0,8.228087466040462
170.0,8.555091800268025,160.0,9.75947567059276,260.0,38.655882562379134,440.0,96.97612188588558,660.0,29.272927588422508,880.0,31.66027548989364,1320.0,19.808586580132314,1330.0,21.144925247951036
160.0,6.824206489882343,170.0,7.742891127886759,260.0,31.338369798612035,440.0,64.19372748695567,660.0,16.280174374360154,880.0,21.73668494965697,1320.0,8.269614478919388,1770.0,16.31064389947259
80.0,19.978950448424996,160.0,21.139804998025106,440.0,37.42853868331588,490.0,79.07935060179398,510.0,31.698020548383077,500.0,109.61728026211681,1000.0,11.928492906475698,1160.0,12.288171347410216
170.0,19.04965637410529,80.0,23.012333401550354,330.0,39.09977749146505,490.0,64.39920788060128,510.0,23.51579517000389,500.0,86.01718771806088,1170.0,10.410035808183999,1080.0,15.70323380417906
160.0,36.30180246414576,170.0,38.00495062536356,490.0,39.97136474988271,330.0,53.627252570357285,580.0,18.569505674404542,500.0,54.27520374585684,1170.0,9.616116456484638,1160.0,20.610348532177664
160.0,37.54764396507169,170.0,43.89369751261216,490.0,22.66256508884682,330.0,83.2166084706813,830.0,16.97993605274649,500.0,23.276286513729968,1160.0,9.690050169824332,1080.0,11.440498627806225
160.0,34.189394918606624,170.0,34.6959014578027,420.0,34.263813340742544,330.0,63.59406556548204,500.0,16.232822919554017,830.0,22.989408400512385,1170.0,6.7509827235779065,1160.0,15.607215683461458
170.0,32.76416055177695,210.0,66.85977266631882,330.0,47.3208227753394,420.0,50.05761465080746,830.0,12.219011740617923,580.0,12.542577109714735,1160.0,14.410050371874949,1040.0,15.080047957385123
170.0,29.658693963866174,210.0,39.6523013363608,410.0,26.560741179283493,420.0,39.03328352136585,630.0,13.289518544567436,830.0,22.36886633967174,1050.0,9.076780723896956,1040.0,11.563411353551901
210.0,25.458771457198328,170.0,27.304172609500007,420.0,42.17405235757664,330.0,51.2815031917066,580.0,10.36832508652319,660.0,13.652217752917942,1160.0,7.268734291125385,1040.0,9.938725057170243
160.0,21.877904603465105,170.0,23.42941568548879,420.0,32.67209847983983,330.0,57.755026305635965,830.0,9.38967601719155,660.0,18.407122345974003,1160.0,5.525109775475722,1040.0,7.978229278485908
160.0,18.682621987930993,170.0,20.263233691005627,420.0,45.694540070505035,330.0,49.9612849788066,830.0,21.80603024975311,660.0,21.85156513685026,1260.0,14.554682822622159,1250.0,24.76604242760769
160.0,15.56634037104136,170.0,19.445761904888773,410.0,34.874663498603134,330.0,39.268579618782255,660.0,19.587483880872774,830.0,26.80233352640001,1250.0,16.328014006216634,1670.0,16.68549949906185
160.0,14.212639005776772,170.0,15.907027636013908,330.0,34.555687190459324,490.0,76.32908635899354,660.0,18.945416667104194,500.0,74.53718787094616,1000.0,9.718869745930263,1670.0,14.134814871781078
170.0,12.66622610631348,160.0,13.353974522955705,420.0,31.525195141401188,490.0,70.40361497951716,510.0,26.251895033317222,500.0,92.97183194455232,1000.0,8.257247294217574,1670.0,9.931278230824557
100.0,12.997158370280316,110.0,14.795351255705738,420.0,25.93021862619784,490.0,44.47055402406153,520.0,53.231510899370306,500.0,60.41520505085974,1040.0,9.042047572920469,1050.0,9.50442474779964
220.0,14.212836708192501,110.0,36.22672052224384,440.0,26.276695261900716,330.0,41.321991502607496,520.0,77.78219821443356,530.0,95.94439238549123,1050.0,18.70174594188964,1670.0,21.608637704430066
220.0,13.83817967034837,110.0,25.883127480412416,440.0,19.63146767476273,330.0,40.988736462903525,520.0,54.77150361633103,530.0,64.46572334320423,1050.0,10.248777314728699,1670.0,16.11741382032607
110.0,23.417386989505786,170.0,24.294402033996118,340.0,19.94542042612982,330.0,67.44265750186692,520.0,36.972065459702854,530.0,40.558040872178836,1670.0,15.454221057498822,1160.0,18.593092663556224
160.0,21.31448124576224,170.0,23.73903061804534,440.0,16.750683873505267,330.0,54.49594811255454,520.0,28.967798468579108,530.0,30.45271492117398,1330.0,7.965435209970581,1160.0,14.987113000533615
170.0,22.860013911443236,220.0,59.22972229665249,330.0,37.988517540830244,440.0,50.92463652033312,530.0,17.93055610612823,660.0,31.071664949289048,1100.0,8.99204694279663,1160.0,11.326582388673819
170.0,18.028574487147914,220.0,52.11002108448819,330.0,25.91296098331318,440.0,60.55816856939671,670.0,11.381203378694096,660.0,35.423032187324864,1100.0,9.445014046861816,1110.0,14.857869812794581
170.0,16.209401219870546,220.0,37.93707080887655,330.0,37.20367682160631,440.0,55.17203010329853,670.0,12.961911927102824,660.0,20.282274971003474,1100.0,8.547195250505407,1110.0,12.576485577938314
170.0,14.058159054931306,220.0,28.338153566891073,440.0,51.15653565600345,330.0,87.86777749424498,990.0,7.557955264030837,660.0,24.248887416101915,1100.0,6.550162266178747,1110.0,7.751112444800528
170.0,12.877107007118923,220.0,22.16474601766381,440.0,45.50376795393096,330.0,80.93092756380238,670.0,24.983965580135997,660.0,26.334683806918946,1340.0,6.001891396433021,1330.0,7.473488744001615
170.0,12.308398117796191,220.0,17.533999868617983,440.0,35.58646464399066,330.0,67.36169115573267,670.0,32.75858175849769,660.0,63.61854877312123,1320.0,7.349053367200186,1330.0,19.04792327058791
170.0,10.535763506741265,220.0,12.07714471678657,440.0,29.91431712946009,330.0,51.20194916685743,670.0,21.04692378476762,660.0,79.51959109637647,1320.0,6.41843913424082,1330.0,10.300931626994503
220.0,6.837157952477408,170.0,7.9534332789790385,440.0,16.32948299029633,330.0,24.469694179080857,660.0,48.50686990088615,630.0,61.62711511006725,1260.0,13.922082616567922,1250.0,19.811259359801657
110.0,3.4185252712191776,160.0,3.6780716476618567,440.0,6.725104191433172,330.0,7.091345208141218,620.0,38.014424452711346,630.0,49.181613190438064,1260.0,4.244794772327576,1250.0,14.857842282810676
110.0,1.5242342560797704,160.0,1.5999930373528595,490.0,2.368878598511156,440.0,4.365722807568053,670.0,35.08143845230179,660.0,54.112535921127105,1320.0,11.302969843740485,1330.0,17.73698028323622
230.0,0.9704847038469956,170.0,1.2543628368938442,330.0,1.4410889358245647,440.0,1.6281149254214122,670.0,31.222460955662786,660.0,61.3011089591003,1320.0,7.657737092788101,1330.0,14.490766840129837
210.0,1.041187195707553,220.0,1.2903088138254328,470.0,1.7627827870928015,330.0,2.0078439791499716,630.0,32.18113380011485,660.0,46.594335891445255,1260.0,10.535182572287916,1250.0,11.341275114360316
180.0,1.0305975908664995,230.0,1.1851516748766766,290.0,2.067882208626301,330.0,2.2772956339746333,620.0,32.98532945716522,630.0,59.15748537731888,1890.0,6.376509642014537,1250.0,18.383534179026256
30.0,0.4139616978380495,190.0,0.43554842063915694,300.0,1.0614042953762552,370.0,1.10849773523375,620.0,34.69064993300754,630.0,43.66919505986129,1260.0,5.57953902708139,1250.0,10.42753095649128
240.0,2.041260468140471,210.0,2.0940247810826143,490.0,1.915702168289683,310.0,2.0670718640407584,670.0,29.11020519758294,660.0,59.55406276617105,1340.0,7.698662447774217,1330.0,22.68356587833378
180.0,0.22799220373784088,200.0,0.31637359774148505,450.0,0.6921250760891204,480.0,0.7420793386735749,670.0,18.225701858601525,660.0,58.87351415430187,1320.0,6.429248510179141,1330.0,11.475438864387085
110.0,1.6805113202141322,240.0,2.030922954247737,480.0,26.323700605547767,490.0,82.19191999644418,660.0,25.376370334484456,500.0,99.27552413913219,1000.0,7.774781648620558,1490.0,9.864662569431227
240.0,1.2062522546976355,230.0,1.2097503778131449,480.0,21.164690598468226,490.0,66.84469255293958,510.0,24.23290671526912,500.0,89.61324243146802,1000.0,4.587352821733829,1490.0,5.69816927030566
230.0,1.6065865032173627,240.0,1.8728335895621646,480.0,13.59435573379102,490.0,30.01115635945957,500.0,42.26499538889121,590.0,47.706055663763316,1190.0,13.931767531658698,1180.0,15.527961597024047
180.0,1.0376547018906586,220.0,1.0895476524797527,470.0,4.927786918148473,490.0,12.374589456696397,500.0,16.163377894777526,590.0,69.82206765620052,1780.0,7.515191278269824,1180.0,18.514195030406675
180.0,1.3607959284298181,240.0,1.7138558143867384,490.0,6.541902208339267,480.0,8.373051152675389,520.0,47.19153546558278,590.0,47.74948117081684,1050.0,8.222193772501988,1180.0,11.393448165501901
110.0,1.8343205680977595,120.0,1.9919826248251067,480.0,10.756703401400472,490.0,14.065246664977513,520.0,76.25580550001341,530.0,94.87103990394931,1580.0,10.318731161386996,1050.0,19.257801167931703
240.0,2.194010490640081,170.0,2.211518112786792,430.0,10.519833663824244,450.0,10.55722793193103,520.0,51.04757830786981,530.0,67.92728538623281,1580.0,6.2614451275211405,1050.0,11.566207824662797
220.0,18.751828451505133,110.0,38.25336917186944,330.0,40.80180415804455,440.0,101.96278187800014,880.0,23.55816911489348,530.0,27.687311902590945,1320.0,17.39815187124611,1670.0,25.736621517034934
220.0,12.93458661033556,110.0,31.081532312311555,330.0,40.890397272224014,440.0,58.95503416314815,660.0,18.65216335988362,880.0,21.863466792744806,1770.0,17.51962894306644,1670.0,18.41657587985593
160.0,22.064230656999108,170.0,24.7801944741038,440.0,33.186592693555994,330.0,52.62624383019876,660.0,13.900428941276175,880.0,15.99182119874335,1670.0,15.777072824528185,1160.0,15.852241772138067
160.0,21.45182796665707,170.0,26.548296091178592,440.0,27.152167693992396,330.0,62.52279844372577,500.0,12.92490730654685,660.0,20.842654423002838,1670.0,9.261361152531569,1160.0,16.476687175562507
230.0,23.282817758808154,220.0,35.89187582031907,330.0,42.85589320688546,440.0,54.72434076464205,670.0,12.641531908359433,660.0,26.870621574078154,1670.0,8.05914249747162,1160.0,12.899242458491308
170.0,18.823067761461907,220.0,63.3995738660355,330.0,29.65407342433215,440.0,75.60202724017127,670.0,12.005090317601926,660.0,36.42301034223238,1100.0,9.894731639956696,1110.0,15.319759878297637
170.0,17.31413573009922,220.0,39.178097280025234,330.0,20.463520021350355,440.0,57.959224672472764,670.0,10.12143018237759,660.0,29.562565915167134,1100.0,8.069350068511508,1110.0,14.223999997107216
170.0,13.947802269376169,220.0,27.776452043807392,440.0,53.79243459688647,260.0,65.70297980410115,660.0,21.84593059900539,520.0,22.27394142142655,1110.0,9.237001302714013,1320.0,9.262402379339306
170.0,13.433136486249046,220.0,22.453848105679352,440.0,48.77363522287091,260.0,55.615970379194785,530.0,18.885587281981838,520.0,21.761941239172806,1850.0,5.921395659497769,1320.0,6.9357077621801455
170.0,12.702988484911417,220.0,18.828868978238,330.0,50.14659870955506,260.0,51.26723929934569,520.0,20.006200170450843,660.0,28.6621462559368,1110.0,5.060391476671789,1330.0,7.717060434601919
170.0,11.572328103824773,220.0,16.152946143820394,260.0,47.80252754414655,330.0,55.23241525889982,520.0,14.86559888588446,660.0,35.47546430185989,1110.0,5.410828364913764,1330.0,5.8528182435637985
160.0,9.372928961913471,220.0,12.037172470043354,330.0,43.02628896736816,440.0,81.67821579707524,880.0,22.39910894548569,660.0,33.85092146380929,1320.0,14.159608075380248,1330.0,21.15488334100532
220.0,9.59619560260474,170.0,9.805931042612562,260.0,35.07146321785108,440.0,80.11160852091415,660.0,23.765280890762813,880.0,27.32219403232755,1330.0,16.073433992743265,1770.0,18.287155119492173
180.0,13.33500227930065,160.0,17.422391100234865,440.0,57.83269804280911,490.0,61.68200470610253,510.0,33.97640403651769,500.0,61.2439937501896,1000.0,9.881567518952183,1770.0,11.193799254683539
160.0,18.88156474928325,80.0,22.241288911935502,330.0,38.476413428825595,490.0,67.65922292047017,510.0,27.448539257299096,500.0,101.92409874008425,1170.0,11.122048916172616,1080.0,12.809138345278619
80.0,16.70645240701464,160.0,25.047658916260584,330.0,39.99630022048982,490.0,44.942489783896846,510.0,23.18726221963442,500.0,72.60667210367924,1080.0,10.80282450164367,1160.0,11.8613354411923
160.0,40.25186587443317,170.0,41.35703525814926,490.0,27.818620144415576,330.0,82.90973819382818,580.0,18.30577568388263,500.0,36.45146612499996,1170.0,8.397023270426166,1160.0,18.533314622288596
160.0,36.07935980542585,170.0,41.107965817429,490.0,17.853455284566657,330.0,74.31488330674006,830.0,16.74576401638187,500.0,23.330964765717734,1080.0,8.532111404333824,1160.0,9.494987553091677
170.0,36.22510052140055,210.0,55.06749257032023,420.0,52.496942944138645,330.0,56.85506529190223,580.0,13.033808476008476,830.0,23.225513734013475,1040.0,12.022543329828853,1160.0,17.440872125165654
170.0,30.44419393810462,210.0,49.380978859648835,330.0,40.113390684855084,420.0,40.894181019533626,630.0,12.206943240102804,830.0,18.327129177997154,1890.0,9.565257402899647,1040.0,14.250272993875603
170.0,26.992836047296404,210.0,36.644573715101636,410.0,28.288771184018987,420.0,44.92533870580835,620.0,11.279439720154798,830.0,14.64707411849455,1890.0,7.132148942242537,1040.0,11.037434745087198
210.0,22.12195809399608,170.0,26.17720873012206,420.0,39.75769690199743,330.0,59.08063715297442,580.0,11.277296442867048,660.0,16.506833958704856,1160.0,7.7985462920767965,1040.0,9.088867539557711
210.0,19.845038399273744,170.0,22.72241230837817,420.0,29.830558364380526,330.0,53.52062516016682,530.0,45.82854852146368,520.0,48.626530957185224,1590.0,5.1493159230211445,1050.0,9.344482109523197
160.0,17.969045270973666,170.0,19.882480001819623,420.0,23.23329648545929,330.0,45.55710488567854,520.0,78.40139898134996,530.0,93.96954875757623,1580.0,10.181966542705208,1050.0,21.779397355655174
160.0,13.93607935299624,170.0,18.443370188633644,420.0,26.772792094612747,330.0,38.064304153623844,520.0,54.6170373265025,530.0,66.52463295099507,1580.0,5.347452733489682,1050.0,11.788472537836657
160.0,13.178853009612611,170.0,16.0877966590164,480.0,30.00593716454152,490.0,72.51001270150712,520.0,52.69766391414205,500.0,109.04120203436835,1000.0,10.252066459902613,1490.0,11.015609292246014
160.0,11.393405446891595,170.0,11.931371755249426,330.0,22.636960525741895,490.0,57.11290035526624,520.0,39.34393164570453,500.0,86.28466175875218,1490.0,5.265914435022191,1000.0,6.502456587578006
220.0,17.553519178187482,110.0,29.53897490249135,450.0,34.2640433706756,440.0,87.87996884935268,520.0,25.20858682478569,500.0,47.994940772858826,1330.0,16.642906660661335,1670.0,22.23950700219245
220.0,10.960194812522202,110.0,32.72759377681115,330.0,41.943526181778715,440.0,69.95876906114917,660.0,18.219588634738738,880.0,21.49763670310247,1670.0,20.14821349695461,1330.0,21.41045773363267
170.0,17.93096157756255,110.0,23.366000757467827,440.0,38.83558567194186,330.0,41.4056664052764,660.0,17.453857682712194,880.0,19.185167001422283,1770.0,14.55270771336168,1670.0,15.47383841945135
160.0,20.07756890699341,170.0,26.40321964342728,440.0,25.46977581773725,330.0,69.74767415509899,500.0,14.880243456801523,660.0,19.81480870294294,1670.0,12.375005354030982,1160.0,17.46625524330471
220.0,18.979765270127412,170.0,22.909883720337167,440.0,43.42132241726311,330.0,47.66892292580927,500.0,13.688344792031947,660.0,21.734589547586236,1670.0,5.830307924994206,1160.0,13.348494686802011
170.0,18.32652898425546,220.0,68.86078746384756,330.0,30.629502144634905,440.0,87.86037593512332,670.0,13.63914130903978,660.0,36.56234392337766,1160.0,11.4220064988932,1110.0,13.755977380844865
170.0,16.069924558379498,220.0,44.92615521287252,330.0,23.361885264280957,440.0,76.25838630833624,670.0,11.616739868246755,660.0,31.59977590071014,1100.0,7.982970343162134,1110.0,15.421947328417978
170.0,10.765565149948863,220.0,22.32039741603223,330.0,15.077278827337699,440.0,49.13198934830195,880.0,7.591971621659234,660.0,16.991239168090246,1100.0,5.228275758175068,1110.0,7.629057087603195
170.0,5.601787091103088,220.0,10.175313103369232,330.0,9.909912161972677,440.0,27.212652735784975,880.0,4.112142318574524,660.0,6.113667286279303,1160.0,2.076102559789708,1110.0,2.616252491769214
170.0,3.2413923420386617,220.0,4.108288729322667,330.0,6.137575015971167,440.0,11.550724557507952,670.0,38.0083187904518,660.0,48.26805149294877,1320.0,10.894470805841761,1330.0,16.958604568138597
170.0,1.8475548469084122,220.0,2.5108343243926416,440.0,3.5600664044000947,330.0,4.004359734540615,670.0,31.96063070589202,660.0,60.15545992681648,1320.0,7.537318524431584,1330.0,14.58931739910971
200.0,1.0527299674934236,210.0,1.3031034179594219,470.0,1.912740345175588,330.0,2.257762305915385,630.0,33.64765962809412,660.0,47.41196234400865,1260.0,10.457401146228001,1250.0,11.372199209829407
160.0,1.14813355202492,230.0,1.1826372126977576,290.0,2.122289008982525,330.0,2.496985469132675,620.0,31.679584629692467,630.0,58.13157133614398,1890.0,6.371558881037105,1250.0,18.34932643359933
110.0,0.4640599774826841,170.0,0.48281328386014016,310.0,1.0308293253470608,370.0,1.0734223504721836,620.0,34.19722822429765,630.0,43.17798738288088,1260.0,5.471488967803888,1250.0,10.425263356452657
210.0,2.035979588269339,240.0,2.0538115292526284,490.0,1.8569503566052403,310.0,2.110755920964583,670.0,29.352361406287756,660.0,59.818785521941706,1340.0,7.727415595559032,1330.0,22.83253196284297
160.0,0.2308400986342086,200.0,0.3114954953179786,450.0,0.6814012953042691,480.0,0.726909606872008,670.0,18.06660100835285,660.0,58.854955840217215,1320.0,6.410355142717169,1330.0,11.527295507708134
190.0,1.3556994027510558,230.0,1.5481812066761087,330.0,2.034105826338701,470.0,2.1303910387190785,620.0,34.770635921731824,630.0,57.64379003101674,1260.0,14.790689954377426,1250.0,18.910570539315422
220.0,0.3540163138843876,240.0,0.4810953104282553,490.0,1.701138544996604,480.0,2.0488007673535944,620.0,37.13379594142999,630.0,53.40921941499554,1260.0,4.850217802315074,1250.0,15.476090571725937
240.0,1.5229842935808062,210.0,1.7883622493715878,350.0,2.1112799302894882,490.0,3.054124624580109,670.0,36.84334775804226,660.0,48.567997032988146,1320.0,11.238643753972038,1330.0,16.38612556527444
220.0,0.8671846126050161,230.0,0.967995720113379,460.0,1.5884593833645184,480.0,1.9292820627876404,670.0,32.69323620131293,660.0,59.118904701005675,1320.0,8.298064093352167,1330.0,14.94926176388088
230.0,1.9493507668674825,240.0,2.3198241322651905,480.0,33.46313405233203,490.0,47.53699639229596,660.0,44.95004926256044,500.0,47.22139331321509,1000.0,6.031725689881175,1330.0,9.01588410121183
